Date,Open,High,Low,Close,Adj Close,Volume
30-12-22,3829.06,3839.85,3800.34,3839.5,3839.5,2979870000
29-12-22,3805.45,3858.19,3805.45,3849.28,3849.28,3003680000
28-12-22,3829.56,3848.32,3780.78,3783.22,3783.22,3083520000
27-12-22,3843.34,3846.65,3813.22,3829.25,3829.25,3030300000
23-12-22,3815.11,3845.8,3797.01,3844.82,3844.82,2819280000
22-12-22,3853.26,3853.26,3764.49,3822.39,3822.39,3956950000
21-12-22,3839.49,3889.82,3839.49,3878.44,3878.44,3775200000
20-12-22,3810.47,3838.24,3795.62,3821.62,3821.62,3985370000
19-12-22,3853.79,3854.86,3800.04,3817.66,3817.66,3969610000
16-12-22,3890.91,3890.91,3827.91,3852.36,3852.36,7493660000
15-12-22,3958.37,3958.37,3879.45,3895.75,3895.75,4493900000
14-12-22,4015.54,4053.76,3965.65,3995.32,3995.32,4472340000
13-12-22,4069.38,4100.96,3993.03,4019.65,4019.65,5079360000
12-12-22,3939.29,3990.71,3935.3,3990.56,3990.56,3904130000
09-12-22,3954.17,3977.02,3933.04,3934.38,3934.38,3888260000
08-12-22,3947.79,3974.19,3935.83,3963.51,3963.51,4006900000
07-12-22,3933.28,3957.57,3922.68,3933.92,3933.92,4118050000
06-12-22,3996.63,4001.51,3918.39,3941.26,3941.26,4368380000
05-12-22,4052.02,4052.45,3984.49,3998.84,3998.84,4280820000
02-12-22,4040.17,4080.48,4026.63,4071.7,4071.7,4012620000
01-12-22,4087.14,4100.51,4050.87,4076.57,4076.57,4527130000
30-11-22,3957.18,4080.11,3938.58,4080.11,4080.11,6579360000
29-11-22,3964.19,3976.77,3937.65,3957.63,3957.63,3546040000
28-11-22,4005.36,4012.27,3955.77,3963.94,3963.94,3615430000
25-11-22,4023.34,4034.02,4020.76,4026.12,4026.12,1706460000
23-11-22,4000.3,4033.78,3998.66,4027.26,4027.26,3279720000
22-11-22,3965.51,4005.88,3956.88,4003.58,4003.58,3887990000
21-11-22,3956.23,3962,3933.34,3949.94,3949.94,3850690000
18-11-22,3966.39,3979.89,3935.98,3965.34,3965.34,4037360000
17-11-22,3919.26,3954.33,3906.54,3946.56,3946.56,4051780000
16-11-22,3976.82,3983.09,3954.34,3958.79,3958.79,4165320000
15-11-22,4006.41,4028.84,3953.17,3991.73,3991.73,5015310000
14-11-22,3977.97,4008.97,3956.4,3957.25,3957.25,4561930000
11-11-22,3963.72,4001.48,3944.82,3992.93,3992.93,5593310000
10-11-22,3859.89,3958.33,3859.89,3956.37,3956.37,5781260000
09-11-22,3810.94,3818.2,3744.22,3748.57,3748.57,4645010000
08-11-22,3817.02,3859.4,3786.28,3828.11,3828.11,4607640000
07-11-22,3780.71,3813.95,3764.7,3806.8,3806.8,4341620000
04-11-22,3766.98,3796.34,3708.84,3770.55,3770.55,5400180000
03-11-22,3733.25,3750.59,3698.15,3719.89,3719.89,4625290000
02-11-22,3852.9,3894.44,3758.68,3759.69,3759.69,4899000000
01-11-22,3901.79,3911.79,3843.8,3856.1,3856.1,4481210000
31-10-22,3881.85,3893.73,3863.18,3871.98,3871.98,4820620000
28-10-22,3808.26,3905.42,3808.26,3901.06,3901.06,4459410000
27-10-22,3834.69,3859.95,3803.79,3807.3,3807.3,4687320000
